no,name,date,time1,time2,body
1,Sof5iHnto,2008-07-17,21:08:03,.31,"ちょっと俺の話を聞いてくれないか。
スレタイの通りなんだけど、俺は庭師になる。べつにそれをお前らに応援してほしいとか、自慢したいとかじゃなくて、ただ気持ちの整理がしたかったからここに書こうと思ったんだ。"
2,Yx3BrbmHO,2008-07-17,21:09:06,.66,つづけて
3,nJRkGin1O,2008-07-17,21:09:12,.78,話聞いてやるよ
4,Sof5iHnto,2008-07-17,21:15:12,.33,ありがとう、まとめてあるわけじゃないから長くなるかもだけど、聞いてくれたらうれしい
5,Sof5iHnto,2008-07-17,21:20:18,.19,"俺は田舎の生まれでさ、まぁ、みんなが想像するような田舎だよ。駅まで車で30分とかかかるし、学校はヤンキーまみれだし。
で、まぁ、そんなに裕福な家でもなくてさ。俺も母親がどっかのバザーで買ってきたような服とか着せられてさ。
親父が庭師だったんだよね。絵に描いたような昭和の頑固親父でさ、暴力を振るうとかではないんだけど、家でもあんまり喋らないで、テレビ見ながらビール飲んでて。"
6,Sof5iHnto,2008-07-17,21:25:22,.67,"とにかく、子供に対して理解がないというかさ、友達がゲームボーイでポケモンやってるからほしいって言っても、絶対に買ってくれなかったし、なんかちょっとした失敗とかをするとすごく不機嫌になったり。
俺にあんまり向き合ってくれてる感じがしなかったんだよな。"
7,Sof5iHnto,2008-07-17,21:28:25,.40,"一個覚えてる話があってさ、小学校の低学年くらいの頃かな、庭にあった柿の木に登ったのよ。あの頃何も考えてなかったし、多分、親父の仕事を見てたから、自分も登れると思ったんだろうな。
案の定落ちちゃってさ。しかも手をついちゃったもんでポッキリ骨も折れて。めちゃくちゃ痛かったし、大泣きだったよ。
母親も大慌てで飛んできてさ、病院連れてかれて。そんでまぁ、いろいろ治療してもらって帰ってきてさ、今でテレビ見てたわけよ。石膏で固めた腕でさ。"
8,Sof5iHnto,2008-07-17,21:35:29,.16,"そしたら親父が仕事から帰ってきて、母親から話は聞いてたんだろうな。俺の方に寄ってきて。流石に心配してくれるかなと思ったら、俺を見下ろしながら、「庭師の子は木から落ちるはずがない、お前は本当に俺の子供か？」って。
本当に幼いながらすごいショックでさ。今でも覚えてることなんだけど。まぁ、そういう父親がいたんだよ。"
9,wTb0Pc8Go,2008-07-17,21:40:35,.90,>>1も大変だったんだな、俺は毒親の元に生まれて、だから人生がめちゃくちゃだと思ってたけど、まともな親でもつらいことはあるんだな
10,29uZGX8GQ,2008-07-17,21:42:38,niwash,この親まともか？？
